x,y,z,text
1601991744383,1.44,1,None
1601991744403,1.41,1,None
1601991744424,1.44,1,None
1601991744443,1.46,1,None
1601991744463,1.55,1,None
1601991744483,1.7,1,None
1601991744503,1.9,1,None
1601991744524,2.11,1,None
1601991744543,2.49,1,None
1601991744563,2.9,1,None
1601991744583,3.38,1,None
1601991744603,4.03,1,None
1601991744623,4.75,1,None
1601991744643,5.62,1,None
1601991744663,6.64,1,None
1601991744683,7.71,1,None
1601991744703,9.34,1,None
1601991744723,10.96,1,None
1601991744743,12.71,1,None
1601991744763,14.35,1,None
1601991744783,16,1,None
1601991744803,17.9,1,None
1601991744823,19.45,1,None
1601991744843,20.93,1,None
1601991744863,22.27,1,None
1601991744883,23.44,1,None
1601991744905,24.68,1,None
1601991744925,25.73,1,None
1601991744945,26.76,1,None
1601991744965,27.6,1,None
1601991744985,28.24,1,None
1601991745005,28.93,1,None
1601991745025,29.49,1,None
1601991745045,29.85,1,None
1601991745065,30.21,1,None
1601991745085,30.56,1,None
1601991745106,30.91,1,None
1601991745125,31.19,1,None
1601991745144,31.4,1,None
1601991745165,31.47,1,None
1601991745185,31.47,1,None
1601991745205,31.38,1,None
1601991745225,31.09,1,None
1601991745245,30.59,1,None
1601991745265,29.87,1,None
1601991745285,28.96,1,None
1601991745305,27.89,1,None
1601991745325,26.56,1,None
1601991745345,25.04,1,None
1601991745365,23.31,1,None
1601991745385,21.79,1,None
1601991745405,20.18,1,None
1601991745425,18.58,1,None
1601991745445,16.73,1,None
1601991745465,15.01,1,None
1601991745485,13.66,1,None
1601991745505,12.28,1,None
1601991745525,11.03,1,None
1601991745545,9.78,1,None
1601991745565,8.67,1,None
1601991745585,7.7,1,None
1601991745605,6.95,1,None
1601991745625,6.35,1,None
1601991745645,5.77,1,None
1601991745665,5.26,1,None
1601991745685,4.84,1,None
1601991745705,4.46,1,None
1601991745725,4.13,1,None
1601991745745,3.8,1,None
1601991745765,3.56,1,None
1601991745785,3.32,1,None
1601991745805,3.08,1,None
1601991745825,2.91,1,None
1601991745845,2.73,1,None
1601991745865,2.61,1,None
1601991745885,2.46,1,None
1601991745905,2.34,1,None
1601991745925,2.27,1,None
1601991745945,2.16,1,None
1601991745965,2.09,1,None
1601991745985,2,1,None
1601991746007,1.92,1,None
1601991746027,1.85,1,None
1601991746047,1.79,1,None
1601991746067,1.77,1,None
1601991746087,1.71,1,None
1601991746107,1.65,1,None
1601991746127,1.62,1,None
1601991746147,1.56,1,None
1601991746167,1.5,1,None
1601991746187,1.5,1,None
1601991746207,1.5,1,None
1601991746227,1.45,1,None
1601991746247,1.42,1,None
1601991746267,1.42,1,None
1601991746287,1.4,1,None
1601991746307,1.43,1,None
1601991746327,1.46,1,None
1601991746347,1.49,1,None
1601991746367,1.61,1,None
1601991746387,1.73,1,None
1601991746407,1.9,1,None
1601991746427,2.11,1,None
1601991746447,2.41,1,None
1601991746467,2.82,1,None
1601991746487,3.3,1,None
1601991746507,3.95,1,None
1601991746527,4.67,1,None
1601991746547,5.57,1,None
1601991746567,6.57,1,None
1601991746587,7.63,1,None
1601991746607,9.12,1,None
1601991746627,10.61,1,None
1601991746647,12.18,1,None
1601991746667,13.73,1,None
1601991746687,15.12,1,None
1601991746707,16.76,1,None
1601991746728,18.33,1,None
1601991746747,19.81,1,None
1601991746757,21.24,1,None
1601991746777,22.46,1,None
1601991746797,23.72,1,None
1601991746817,24.95,1,None
1601991746837,26.05,1,None
1601991746857,26.96,1,None
1601991746877,27.73,1,None
1601991746896,28.44,1,None
1601991746918,28.94,1,None
1601991746937,29.57,1,None
1601991746957,30,1,None
1601991746977,30.36,1,None
1601991746997,30.59,1,None
1601991747017,30.93,1,None
1601991747037,31.16,1,None
1601991747059,31.38,1,None
1601991747079,31.59,1,None
1601991747099,31.8,1,None
1601991747119,32.01,1,None
1601991747139,32.22,1,None
1601991747159,32.22,1,None
1601991747179,32.22,1,None
1601991747199,32.14,1,None
1601991747219,31.84,1,None
1601991747239,31.34,1,None
1601991747259,30.57,1,None
1601991747279,29.77,1,None
1601991747299,28.6,1,None
1601991747319,27.28,1,None
1601991747339,25.96,1,None
1601991747359,24.04,1,None
1601991747380,22.38,1,None
1601991747399,20.77,1,None
1601991747419,19.06,1,None
1601991747439,17.2,1,None
1601991747459,15.38,1,None
1601991747479,13.99,1,None
1601991747499,12.73,1,None
1601991747519,11.22,1,None
1601991747539,9.94,1,None
1601991747559,8.79,1,None
1601991747580,7.76,1,None
1601991747599,7.05,1,None
1601991747619,6.45,1,None
1601991747639,5.87,1,None
1601991747659,5.36,1,None
1601991747679,4.91,1,None
1601991747699,4.52,1,None
1601991747719,4.19,1,None
1601991747739,3.86,1,None
1601991747759,3.59,1,None
1601991747779,3.36,1,None
1601991747799,3.12,1,None
1601991747819,2.94,1,None
1601991747839,2.76,1,None
1601991747858,2.59,1,None
1601991747879,2.47,1,None
1601991747899,2.34,1,None
1601991747919,2.2,1,None
1601991747939,2.1,1,None
1601991747959,2.04,1,None
1601991747979,1.98,1,None
1601991747999,1.89,1,None
1601991748019,1.83,1,None
1601991748039,1.8,1,None
1601991748059,1.77,1,None
1601991748079,1.71,1,None
1601991748099,1.65,1,None
1601991748119,1.62,1,None
1601991748141,1.62,1,None
1601991748161,1.6,1,None
1601991748181,1.63,1,None
1601991748201,1.66,1,None
1601991748221,1.69,1,None
1601991748241,1.81,1,None
1601991748261,1.96,1,None
1601991748281,2.14,1,None
1601991748301,2.44,1,None
1601991748321,2.77,1,None
1601991748341,3.21,1,None
1601991748361,3.87,1,None
1601991748380,4.65,1,None
1601991748401,5.61,1,None
1601991748421,6.67,1,None
1601991748441,7.94,1,None
1601991748461,9.75,1,None
1601991748481,11.29,1,None
1601991748501,13.25,1,None
1601991748521,14.85,1,None
1601991748541,16.69,1,None
1601991748561,18.49,1,None
1601991748581,20.03,1,None
1601991748601,21.46,1,None
1601991748621,22.63,1,None
1601991748641,23.92,1,None
1601991748661,25.14,1,None
1601991748681,26.1,1,None
1601991748701,26.99,1,None
1601991748721,27.8,1,None
1601991748741,28.43,1,None
1601991748761,29.05,1,None
1601991748781,29.47,1,None
1601991748801,29.88,1,None
1601991748821,30.23,1,None
1601991748841,30.58,1,None
1601991748861,30.93,1,None
1601991748881,31.27,1,None
1601991748900,31.43,1,None
1601991748921,31.45,1,None
1601991748941,31.45,1,None
1601991748961,31.24,1,None
1601991748981,30.76,1,None
1601991749001,30.07,1,None
1601991749021,29.16,1,None
1601991749041,27.99,1,None
1601991749061,26.54,1,None
1601991749081,24.96,1,None
1601991749101,23.13,1,None
1601991749121,21.63,1,None
1601991749141,19.92,1,None
1601991749161,18.16,1,None
1601991749181,16.42,1,None
1601991749191,14.8,1,None
1601991749211,13.45,1,None
1601991749233,12.02,1,None
1601991749253,10.65,1,None
1601991749274,9.47,1,None
1601991749293,8.32,1,None
1601991749313,7.41,1,None
1601991749333,6.73,1,None
1601991749353,6.1,1,None
1601991749372,5.58,1,None
1601991749393,5.1,1,None
1601991749413,4.71,1,None
1601991749433,4.29,1,None
1601991749453,3.96,1,None
1601991749473,3.66,1,None
1601991749493,3.4,1,None
1601991749513,3.16,1,None
1601991749533,2.95,1,None
1601991749553,2.8,1,None
1601991749573,2.63,1,None
1601991749593,2.46,1,None
1601991749613,2.34,1,None
1601991749633,2.22,1,None
1601991749653,2.11,1,None
1601991749673,1.99,1,None
1601991749692,1.94,1,None
1601991749713,1.88,1,None
1601991749733,1.82,1,None
1601991749753,1.76,1,None
1601991749773,1.7,1,None
1601991749793,1.64,1,None
1601991749814,1.62,1,None
1601991749833,1.56,1,None
1601991749853,1.5,1,None
1601991749873,1.49,1,None
1601991749893,1.46,1,None
1601991749913,1.46,1,None
1601991749934,1.52,1,None
1601991749953,1.6,1,None
1601991749973,1.71,1,None
1601991749995,1.92,1,None
1601991750013,2.13,1,None
1601991750033,2.45,1,None
1601991750053,2.86,1,None
1601991750073,3.31,1,None
1601991750093,3.81,1,None
